date	location	QC_overall_status	sequences
2021-09-01	Australia	bad	23
2021-09-01	Australia	good	278
2021-09-01	Australia	mediocre	25
2021-09-01	Brazil	bad	31
2021-09-01	Brazil	good	543
2021-09-01	Brazil	mediocre	30
2021-09-01	Japan	bad	1
2021-09-01	Japan	good	1808
2021-09-01	Japan	mediocre	5
2021-09-01	South Africa	bad	11
2021-09-01	South Africa	good	83
2021-09-01	South Africa	mediocre	8
2021-09-01	USA	bad	685
2021-09-01	USA	good	10622
2021-09-01	USA	mediocre	1504
2021-09-01	United Kingdom	bad	92
2021-09-01	United Kingdom	good	5525
2021-09-01	United Kingdom	mediocre	347
2021-09-02	Australia	bad	23
2021-09-02	Australia	good	244
2021-09-02	Australia	mediocre	23
2021-09-02	Brazil	bad	28
2021-09-02	Brazil	good	424
2021-09-02	Brazil	mediocre	23
2021-09-02	Japan	good	1298
2021-09-02	Japan	mediocre	5
2021-09-02	South Africa	bad	15
2021-09-02	South Africa	good	78
2021-09-02	South Africa	mediocre	4
2021-09-02	USA	bad	748
2021-09-02	USA	good	10482
2021-09-02	USA	mediocre	1490
2021-09-02	United Kingdom	bad	57
2021-09-02	United Kingdom	good	5927
2021-09-02	United Kingdom	mediocre	344
2021-09-03	Australia	bad	22
2021-09-03	Australia	good	257
2021-09-03	Australia	mediocre	14
2021-09-03	Brazil	bad	12
2021-09-03	Brazil	good	434
2021-09-03	Brazil	mediocre	22
2021-09-03	Japan	good	1222
2021-09-03	Japan	mediocre	11
2021-09-03	South Africa	bad	8
2021-09-03	South Africa	good	65
2021-09-03	South Africa	mediocre	6
2021-09-03	USA	bad	655
2021-09-03	USA	good	8756
2021-09-03	USA	mediocre	1308
2021-09-03	United Kingdom	bad	38
2021-09-03	United Kingdom	good	5226
2021-09-03	United Kingdom	mediocre	254
2021-09-04	Australia	bad	17
2021-09-04	Australia	good	254
2021-09-04	Australia	mediocre	8
2021-09-04	Brazil	bad	4
2021-09-04	Brazil	good	277
2021-09-04	Brazil	mediocre	15
2021-09-04	Japan	good	1113
2021-09-04	Japan	mediocre	1
2021-09-04	South Africa	bad	2
2021-09-04	South Africa	good	41
2021-09-04	South Africa	mediocre	3
2021-09-04	USA	bad	356
2021-09-04	USA	good	5177
2021-09-04	USA	mediocre	736
2021-09-04	United Kingdom	bad	21
2021-09-04	United Kingdom	good	4632
2021-09-04	United Kingdom	mediocre	202
2021-09-05	Australia	bad	28
2021-09-05	Australia	good	550
2021-09-05	Australia	mediocre	24
2021-09-05	Brazil	bad	10
2021-09-05	Brazil	good	253
2021-09-05	Brazil	mediocre	10
2021-09-05	Japan	good	303
2021-09-05	Japan	mediocre	1
2021-09-05	South Africa	bad	5
2021-09-05	South Africa	good	18
2021-09-05	South Africa	mediocre	3
2021-09-05	USA	bad	283
2021-09-05	USA	good	4467
2021-09-05	USA	mediocre	608
2021-09-05	United Kingdom	bad	35
2021-09-05	United Kingdom	good	3654
2021-09-05	United Kingdom	mediocre	279
2021-09-06	Australia	bad	30
2021-09-06	Australia	good	359
2021-09-06	Australia	mediocre	15
2021-09-06	Brazil	bad	17
2021-09-06	Brazil	good	702
2021-09-06	Brazil	mediocre	24
2021-09-06	Japan	good	1433
2021-09-06	Japan	mediocre	14
2021-09-06	South Africa	bad	25
2021-09-06	South Africa	good	94
2021-09-06	South Africa	mediocre	11
2021-09-06	USA	bad	291
2021-09-06	USA	good	3997
2021-09-06	USA	mediocre	623
2021-09-06	United Kingdom	bad	61
2021-09-06	United Kingdom	good	6902
2021-09-06	United Kingdom	mediocre	396
2021-09-07	Australia	bad	46
2021-09-07	Australia	good	392
2021-09-07	Australia	mediocre	32
2021-09-07	Brazil	bad	6
2021-09-07	Brazil	good	393
2021-09-07	Brazil	mediocre	13
2021-09-07	Japan	good	956
2021-09-07	Japan	mediocre	10
2021-09-07	South Africa	bad	14
2021-09-07	South Africa	good	88
2021-09-07	South Africa	mediocre	10
2021-09-07	USA	bad	1170
2021-09-07	USA	good	14044
2021-09-07	USA	mediocre	1931
2021-09-07	United Kingdom	bad	32
2021-09-07	United Kingdom	good	5060
2021-09-07	United Kingdom	mediocre	436
2021-09-08	Australia	bad	30
2021-09-08	Australia	good	321
2021-09-08	Australia	mediocre	15
2021-09-08	Brazil	bad	32
2021-09-08	Brazil	good	713
2021-09-08	Brazil	mediocre	38
2021-09-08	Japan	good	1112
2021-09-08	Japan	mediocre	5
2021-09-08	South Africa	bad	11
2021-09-08	South Africa	good	76
2021-09-08	South Africa	mediocre	12
2021-09-08	USA	bad	937
2021-09-08	USA	good	11197
2021-09-08	USA	mediocre	1735
2021-09-08	United Kingdom	bad	50
2021-09-08	United Kingdom	good	5685
2021-09-08	United Kingdom	mediocre	315
2021-09-09	Australia	bad	38
2021-09-09	Australia	good	396
2021-09-09	Australia	mediocre	19
2021-09-09	Brazil	bad	22
2021-09-09	Brazil	good	547
2021-09-09	Brazil	mediocre	35
2021-09-09	Japan	bad	1
2021-09-09	Japan	good	825
2021-09-09	Japan	mediocre	6
2021-09-09	South Africa	bad	16
2021-09-09	South Africa	good	78
2021-09-09	South Africa	mediocre	5
2021-09-09	USA	bad	857
2021-09-09	USA	good	11152
2021-09-09	USA	mediocre	1691
2021-09-09	United Kingdom	bad	63
2021-09-09	United Kingdom	good	5720
2021-09-09	United Kingdom	mediocre	351
2021-09-10	Australia	bad	39
2021-09-10	Australia	good	342
2021-09-10	Australia	mediocre	31
2021-09-10	Brazil	bad	37
2021-09-10	Brazil	good	424
2021-09-10	Brazil	mediocre	25
2021-09-10	Japan	good	945
2021-09-10	Japan	mediocre	6
2021-09-10	South Africa	bad	17
2021-09-10	South Africa	good	52
2021-09-10	South Africa	mediocre	7
2021-09-10	USA	bad	910
2021-09-10	USA	good	10357
2021-09-10	USA	mediocre	1603
2021-09-10	United Kingdom	bad	52
2021-09-10	United Kingdom	good	5367
2021-09-10	United Kingdom	mediocre	387
2021-09-11	Australia	bad	34
2021-09-11	Australia	good	273
2021-09-11	Australia	mediocre	21
2021-09-11	Brazil	bad	37
2021-09-11	Brazil	good	177
2021-09-11	Brazil	mediocre	16
2021-09-11	Japan	good	670
2021-09-11	Japan	mediocre	3
2021-09-11	South Africa	bad	2
2021-09-11	South Africa	good	27
2021-09-11	USA	bad	607
2021-09-11	USA	good	5556
2021-09-11	USA	mediocre	956
2021-09-11	United Kingdom	bad	235
2021-09-11	United Kingdom	good	3808
2021-09-11	United Kingdom	mediocre	368
2021-09-12	Australia	bad	53
2021-09-12	Australia	good	292
2021-09-12	Australia	mediocre	36
2021-09-12	Brazil	bad	29
2021-09-12	Brazil	good	205
2021-09-12	Brazil	mediocre	12
2021-09-12	Japan	good	224
2021-09-12	Japan	mediocre	2
2021-09-12	South Africa	bad	5
2021-09-12	South Africa	good	16
2021-09-12	South Africa	mediocre	2
2021-09-12	USA	bad	492
2021-09-12	USA	good	4939
2021-09-12	USA	mediocre	833
2021-09-12	United Kingdom	bad	24
2021-09-12	United Kingdom	good	4926
2021-09-12	United Kingdom	mediocre	214
2021-09-13	Australia	bad	50
2021-09-13	Australia	good	258
2021-09-13	Australia	mediocre	32
2021-09-13	Brazil	bad	115
2021-09-13	Brazil	good	875
2021-09-13	Brazil	mediocre	73
2021-09-13	Japan	bad	4
2021-09-13	Japan	good	1014
2021-09-13	Japan	mediocre	13
2021-09-13	South Africa	bad	22
2021-09-13	South Africa	good	74
2021-09-13	South Africa	mediocre	12
2021-09-13	USA	bad	1084
2021-09-13	USA	good	10813
2021-09-13	USA	mediocre	1782
2021-09-13	United Kingdom	bad	47
2021-09-13	United Kingdom	good	6157
2021-09-13	United Kingdom	mediocre	301
2021-09-14	Australia	bad	25
2021-09-14	Australia	good	215
2021-09-14	Australia	mediocre	29
2021-09-14	Brazil	bad	91
2021-09-14	Brazil	good	507
2021-09-14	Brazil	mediocre	49
2021-09-14	Japan	good	620
2021-09-14	Japan	mediocre	4
2021-09-14	South Africa	bad	28
2021-09-14	South Africa	good	55
2021-09-14	South Africa	mediocre	9
2021-09-14	USA	bad	763
2021-09-14	USA	good	9063
2021-09-14	USA	mediocre	1375
2021-09-14	United Kingdom	bad	14
2021-09-14	United Kingdom	good	5405
2021-09-14	United Kingdom	mediocre	270
2021-09-15	Australia	bad	2
2021-09-15	Australia	good	159
2021-09-15	Australia	mediocre	10
2021-09-15	Brazil	bad	15
2021-09-15	Brazil	good	387
2021-09-15	Brazil	mediocre	22
2021-09-15	Japan	bad	1
2021-09-15	Japan	good	659
2021-09-15	Japan	mediocre	8
2021-09-15	South Africa	bad	18
2021-09-15	South Africa	good	65
2021-09-15	South Africa	mediocre	13
2021-09-15	USA	bad	765
2021-09-15	USA	good	8388
2021-09-15	USA	mediocre	1340
2021-09-15	United Kingdom	bad	22
2021-09-15	United Kingdom	good	5552
2021-09-15	United Kingdom	mediocre	246
2021-09-16	Australia	bad	6
2021-09-16	Australia	good	130
2021-09-16	Australia	mediocre	10
2021-09-16	Brazil	bad	12
2021-09-16	Brazil	good	273
2021-09-16	Brazil	mediocre	19
2021-09-16	Japan	good	468
2021-09-16	Japan	mediocre	3
2021-09-16	South Africa	bad	13
2021-09-16	South Africa	good	44
2021-09-16	South Africa	mediocre	13
2021-09-16	USA	bad	742
2021-09-16	USA	good	8356
2021-09-16	USA	mediocre	1355
2021-09-16	United Kingdom	bad	30
2021-09-16	United Kingdom	good	6135
2021-09-16	United Kingdom	mediocre	240
2021-09-17	Australia	bad	2
2021-09-17	Australia	good	123
2021-09-17	Australia	mediocre	9
2021-09-17	Brazil	bad	10
2021-09-17	Brazil	good	244
2021-09-17	Brazil	mediocre	22
2021-09-17	Japan	bad	3
2021-09-17	Japan	good	436
2021-09-17	Japan	mediocre	1
2021-09-17	South Africa	bad	11
2021-09-17	South Africa	good	46
2021-09-17	South Africa	mediocre	7
2021-09-17	USA	bad	689
2021-09-17	USA	good	9146
2021-09-17	USA	mediocre	1434
2021-09-17	United Kingdom	bad	12
2021-09-17	United Kingdom	good	5703
2021-09-17	United Kingdom	mediocre	224
2021-09-18	Australia	good	83
2021-09-18	Australia	mediocre	6
2021-09-18	Brazil	bad	3
2021-09-18	Brazil	good	118
2021-09-18	Brazil	mediocre	4
2021-09-18	Japan	bad	1
2021-09-18	Japan	good	326
2021-09-18	Japan	mediocre	1
2021-09-18	South Africa	bad	6
2021-09-18	South Africa	good	21
2021-09-18	South Africa	mediocre	3
2021-09-18	USA	bad	372
2021-09-18	USA	good	4958
2021-09-18	USA	mediocre	775
2021-09-18	United Kingdom	bad	13
2021-09-18	United Kingdom	good	4292
2021-09-18	United Kingdom	mediocre	171
2021-09-19	Australia	good	81
2021-09-19	Australia	mediocre	6
2021-09-19	Brazil	bad	5
2021-09-19	Brazil	good	141
2021-09-19	Brazil	mediocre	3
2021-09-19	Japan	good	132
2021-09-19	Japan	mediocre	2
2021-09-19	South Africa	bad	3
2021-09-19	South Africa	good	23
2021-09-19	USA	bad	259
2021-09-19	USA	good	4446
2021-09-19	USA	mediocre	710
2021-09-19	United Kingdom	bad	46
2021-09-19	United Kingdom	good	5250
2021-09-19	United Kingdom	mediocre	221
2021-09-20	Australia	bad	4
2021-09-20	Australia	good	113
2021-09-20	Australia	mediocre	22
2021-09-20	Brazil	bad	32
2021-09-20	Brazil	good	575
2021-09-20	Brazil	mediocre	27
2021-09-20	Japan	good	142
2021-09-20	Japan	mediocre	1
2021-09-20	South Africa	bad	22
2021-09-20	South Africa	good	71
2021-09-20	South Africa	mediocre	4
2021-09-20	USA	bad	972
2021-09-20	USA	good	10024
2021-09-20	USA	mediocre	1722
2021-09-20	United Kingdom	bad	13
2021-09-20	United Kingdom	good	5958
2021-09-20	United Kingdom	mediocre	271
2021-09-21	Australia	bad	2
2021-09-21	Australia	good	129
2021-09-21	Australia	mediocre	12
