date	location	QC_overall_status	sequences
2021-09-01	Australia	bad	23
2021-09-01	Australia	good	278
2021-09-01	Australia	mediocre	26
2021-09-01	Brazil	bad	38
2021-09-01	Brazil	good	544
2021-09-01	Brazil	mediocre	30
2021-09-01	Costa Rica	bad	2
2021-09-01	Costa Rica	mediocre	4
2021-09-01	Egypt	mediocre	1
2021-09-01	Japan	bad	1
2021-09-01	Japan	good	1788
2021-09-01	Japan	mediocre	29
2021-09-01	Panama	bad	1
2021-09-01	Panama	good	7
2021-09-01	Panama	mediocre	9
2021-09-01	South Africa	bad	11
2021-09-01	South Africa	good	82
2021-09-01	South Africa	mediocre	9
2021-09-01	Trinidad and Tobago	bad	6
2021-09-01	Trinidad and Tobago	good	1
2021-09-01	Trinidad and Tobago	mediocre	6
2021-09-01	USA	bad	665
2021-09-01	USA	good	10430
2021-09-01	USA	mediocre	1766
2021-09-01	United Kingdom	bad	89
2021-09-01	United Kingdom	good	5521
2021-09-01	United Kingdom	mediocre	351
2021-09-01	Vietnam	good	58
2021-09-02	Australia	bad	23
2021-09-02	Australia	good	245
2021-09-02	Australia	mediocre	23
2021-09-02	Brazil	bad	31
2021-09-02	Brazil	good	426
2021-09-02	Brazil	mediocre	27
2021-09-02	Costa Rica	bad	1
2021-09-02	Costa Rica	mediocre	2
2021-09-02	Japan	good	1275
2021-09-02	Japan	mediocre	30
2021-09-02	Panama	good	5
2021-09-02	Panama	mediocre	4
2021-09-02	South Africa	bad	15
2021-09-02	South Africa	good	77
2021-09-02	South Africa	mediocre	5
2021-09-02	Trinidad and Tobago	bad	2
2021-09-02	Trinidad and Tobago	good	4
2021-09-02	Trinidad and Tobago	mediocre	4
2021-09-02	USA	bad	731
2021-09-02	USA	good	10262
2021-09-02	USA	mediocre	1795
2021-09-02	United Kingdom	bad	58
2021-09-02	United Kingdom	good	5948
2021-09-02	United Kingdom	mediocre	317
2021-09-02	Vietnam	good	234
2021-09-02	Vietnam	mediocre	2
2021-09-03	Australia	bad	22
2021-09-03	Australia	good	257
2021-09-03	Australia	mediocre	14
2021-09-03	Brazil	bad	16
2021-09-03	Brazil	good	455
2021-09-03	Brazil	mediocre	22
2021-09-03	Costa Rica	bad	4
2021-09-03	Costa Rica	mediocre	1
2021-09-03	Japan	good	1205
2021-09-03	Japan	mediocre	34
2021-09-03	Panama	bad	1
2021-09-03	Panama	good	4
2021-09-03	Panama	mediocre	4
2021-09-03	South Africa	bad	8
2021-09-03	South Africa	good	64
2021-09-03	South Africa	mediocre	7
2021-09-03	Trinidad and Tobago	bad	1
2021-09-03	Trinidad and Tobago	good	2
2021-09-03	Trinidad and Tobago	mediocre	1
2021-09-03	USA	bad	640
2021-09-03	USA	good	8602
2021-09-03	USA	mediocre	1562
2021-09-03	United Kingdom	bad	36
2021-09-03	United Kingdom	good	5236
2021-09-03	United Kingdom	mediocre	238
2021-09-03	Vietnam	good	67
2021-09-04	Australia	bad	17
2021-09-04	Australia	good	255
2021-09-04	Australia	mediocre	8
2021-09-04	Brazil	bad	6
2021-09-04	Brazil	good	282
2021-09-04	Brazil	mediocre	20
2021-09-04	Costa Rica	good	1
2021-09-04	Egypt	bad	18
2021-09-04	Egypt	mediocre	2
2021-09-04	Japan	good	1098
2021-09-04	Japan	mediocre	18
2021-09-04	Panama	good	5
2021-09-04	Panama	mediocre	5
2021-09-04	South Africa	bad	2
2021-09-04	South Africa	good	40
2021-09-04	South Africa	mediocre	4
2021-09-04	Trinidad and Tobago	bad	6
2021-09-04	Trinidad and Tobago	good	1
2021-09-04	Trinidad and Tobago	mediocre	6
2021-09-04	USA	bad	365
2021-09-04	USA	good	5107
2021-09-04	USA	mediocre	874
2021-09-04	United Kingdom	bad	19
2021-09-04	United Kingdom	good	4639
2021-09-04	United Kingdom	mediocre	196
2021-09-04	Vietnam	good	9
2021-09-05	Australia	bad	28
2021-09-05	Australia	good	550
2021-09-05	Australia	mediocre	24
2021-09-05	Brazil	bad	14
2021-09-05	Brazil	good	256
2021-09-05	Brazil	mediocre	10
2021-09-05	Japan	good	300
2021-09-05	Japan	mediocre	5
2021-09-05	Panama	bad	1
2021-09-05	Panama	good	3
2021-09-05	Panama	mediocre	2
2021-09-05	South Africa	bad	5
2021-09-05	South Africa	good	18
2021-09-05	South Africa	mediocre	3
2021-09-05	Trinidad and Tobago	bad	2
2021-09-05	Trinidad and Tobago	good	1
2021-09-05	Trinidad and Tobago	mediocre	4
2021-09-05	USA	bad	305
2021-09-05	USA	good	4385
2021-09-05	USA	mediocre	744
2021-09-05	United Kingdom	bad	33
2021-09-05	United Kingdom	good	3681
2021-09-05	United Kingdom	mediocre	250
2021-09-05	Vietnam	bad	1
2021-09-05	Vietnam	good	12
2021-09-06	Australia	bad	30
2021-09-06	Australia	good	358
2021-09-06	Australia	mediocre	16
2021-09-06	Brazil	bad	23
2021-09-06	Brazil	good	712
2021-09-06	Brazil	mediocre	27
2021-09-06	Costa Rica	bad	9
2021-09-06	Costa Rica	mediocre	2
2021-09-06	Japan	bad	4
2021-09-06	Japan	good	1416
2021-09-06	Japan	mediocre	27
2021-09-06	Panama	good	4
2021-09-06	Panama	mediocre	1
2021-09-06	South Africa	bad	25
2021-09-06	South Africa	good	93
2021-09-06	South Africa	mediocre	13
2021-09-06	Trinidad and Tobago	bad	4
2021-09-06	Trinidad and Tobago	good	2
2021-09-06	Trinidad and Tobago	mediocre	9
2021-09-06	USA	bad	296
2021-09-06	USA	good	4029
2021-09-06	USA	mediocre	713
2021-09-06	United Kingdom	bad	61
2021-09-06	United Kingdom	good	6890
2021-09-06	United Kingdom	mediocre	404
2021-09-06	Vietnam	good	3
2021-09-06	Vietnam	mediocre	1
2021-09-07	Australia	bad	46
2021-09-07	Australia	good	393
2021-09-07	Australia	mediocre	32
2021-09-07	Brazil	bad	7
2021-09-07	Brazil	good	389
2021-09-07	Brazil	mediocre	21
2021-09-07	Costa Rica	bad	1
2021-09-07	Costa Rica	good	5
2021-09-07	Costa Rica	mediocre	2
2021-09-07	Japan	good	943
2021-09-07	Japan	mediocre	24
2021-09-07	Panama	good	3
2021-09-07	Panama	mediocre	2
2021-09-07	South Africa	bad	14
2021-09-07	South Africa	good	92
2021-09-07	South Africa	mediocre	10
2021-09-07	Trinidad and Tobago	bad	7
2021-09-07	Trinidad and Tobago	good	3
2021-09-07	Trinidad and Tobago	mediocre	15
2021-09-07	USA	bad	1203
2021-09-07	USA	good	13729
2021-09-07	USA	mediocre	2307
2021-09-07	United Kingdom	bad	32
2021-09-07	United Kingdom	good	5063
2021-09-07	United Kingdom	mediocre	433
2021-09-07	Vietnam	good	5
2021-09-08	Australia	bad	30
2021-09-08	Australia	good	320
2021-09-08	Australia	mediocre	16
2021-09-08	Brazil	bad	38
2021-09-08	Brazil	good	716
2021-09-08	Brazil	mediocre	51
2021-09-08	Costa Rica	bad	2
2021-09-08	Costa Rica	good	4
2021-09-08	Costa Rica	mediocre	4
2021-09-08	Japan	good	1100
2021-09-08	Japan	mediocre	21
2021-09-08	Panama	bad	2
2021-09-08	Panama	good	2
2021-09-08	South Africa	bad	11
2021-09-08	South Africa	good	76
2021-09-08	South Africa	mediocre	12
2021-09-08	Trinidad and Tobago	bad	1
2021-09-08	Trinidad and Tobago	good	1
2021-09-08	Trinidad and Tobago	mediocre	4
2021-09-08	USA	bad	936
2021-09-08	USA	good	10956
2021-09-08	USA	mediocre	2013
2021-09-08	United Kingdom	bad	48
2021-09-08	United Kingdom	good	5680
2021-09-08	United Kingdom	mediocre	322
2021-09-08	Vietnam	good	6
2021-09-09	Australia	bad	38
2021-09-09	Australia	good	396
2021-09-09	Australia	mediocre	19
2021-09-09	Brazil	bad	29
2021-09-09	Brazil	good	546
2021-09-09	Brazil	mediocre	43
2021-09-09	Costa Rica	good	9
2021-09-09	Japan	bad	1
2021-09-09	Japan	good	815
2021-09-09	Japan	mediocre	16
2021-09-09	Panama	good	10
2021-09-09	Panama	mediocre	7
2021-09-09	South Africa	bad	18
2021-09-09	South Africa	good	78
2021-09-09	South Africa	mediocre	4
2021-09-09	Trinidad and Tobago	bad	2
2021-09-09	Trinidad and Tobago	good	2
2021-09-09	Trinidad and Tobago	mediocre	7
2021-09-09	USA	bad	868
2021-09-09	USA	good	10855
2021-09-09	USA	mediocre	1991
2021-09-09	United Kingdom	bad	64
2021-09-09	United Kingdom	good	5717
2021-09-09	United Kingdom	mediocre	353
2021-09-09	Vietnam	good	11
2021-09-10	Australia	bad	39
2021-09-10	Australia	good	343
2021-09-10	Australia	mediocre	31
2021-09-10	Brazil	bad	40
2021-09-10	Brazil	good	432
2021-09-10	Brazil	mediocre	33
2021-09-10	Costa Rica	bad	4
2021-09-10	Costa Rica	good	11
2021-09-10	Costa Rica	mediocre	3
2021-09-10	Japan	bad	1
2021-09-10	Japan	good	935
2021-09-10	Japan	mediocre	18
2021-09-10	Panama	good	4
2021-09-10	Panama	mediocre	5
2021-09-10	South Africa	bad	17
2021-09-10	South Africa	good	53
2021-09-10	South Africa	mediocre	7
2021-09-10	Trinidad and Tobago	bad	1
2021-09-10	Trinidad and Tobago	good	1
2021-09-10	Trinidad and Tobago	mediocre	1
2021-09-10	USA	bad	891
2021-09-10	USA	good	10068
2021-09-10	USA	mediocre	1978
2021-09-10	United Kingdom	bad	50
2021-09-10	United Kingdom	good	5409
2021-09-10	United Kingdom	mediocre	347
2021-09-10	Vietnam	good	7
2021-09-11	Australia	bad	34
2021-09-11	Australia	good	273
2021-09-11	Australia	mediocre	21
2021-09-11	Brazil	bad	37
2021-09-11	Brazil	good	184
2021-09-11	Brazil	mediocre	17
2021-09-11	Costa Rica	good	1
2021-09-11	Japan	good	660
2021-09-11	Japan	mediocre	15
2021-09-11	Panama	good	7
2021-09-11	Panama	mediocre	1
2021-09-11	South Africa	bad	2
2021-09-11	South Africa	good	27
2021-09-11	Trinidad and Tobago	bad	1
2021-09-11	Trinidad and Tobago	mediocre	1
2021-09-11	USA	bad	619
2021-09-11	USA	good	5403
2021-09-11	USA	mediocre	1130
2021-09-11	United Kingdom	bad	237
2021-09-11	United Kingdom	good	3826
2021-09-11	United Kingdom	mediocre	348
2021-09-11	Vietnam	bad	1
2021-09-11	Vietnam	good	2
2021-09-12	Australia	bad	53
2021-09-12	Australia	good	293
2021-09-12	Australia	mediocre	36
2021-09-12	Brazil	bad	29
2021-09-12	Brazil	good	218
2021-09-12	Brazil	mediocre	13
2021-09-12	Costa Rica	good	1
2021-09-12	Egypt	good	2
2021-09-12	Japan	good	223
2021-09-12	Japan	mediocre	6
2021-09-12	Panama	good	2
2021-09-12	South Africa	bad	5
2021-09-12	South Africa	good	16
2021-09-12	South Africa	mediocre	2
2021-09-12	Trinidad and Tobago	bad	1
2021-09-12	Trinidad and Tobago	mediocre	6
2021-09-12	USA	bad	531
2021-09-12	USA	good	4770
2021-09-12	USA	mediocre	981
2021-09-12	United Kingdom	bad	24
2021-09-12	United Kingdom	good	4915
2021-09-12	United Kingdom	mediocre	225
2021-09-12	Vietnam	good	2
2021-09-13	Australia	bad	50
2021-09-13	Australia	good	259
2021-09-13	Australia	mediocre	32
2021-09-13	Brazil	bad	120
2021-09-13	Brazil	good	872
2021-09-13	Brazil	mediocre	81
2021-09-13	Costa Rica	good	4
2021-09-13	Japan	bad	7
2021-09-13	Japan	good	988
2021-09-13	Japan	mediocre	36
2021-09-13	Panama	bad	1
2021-09-13	Panama	good	5
2021-09-13	Panama	mediocre	2
2021-09-13	South Africa	bad	23
2021-09-13	South Africa	good	75
2021-09-13	South Africa	mediocre	11
2021-09-13	Trinidad and Tobago	bad	1
2021-09-13	Trinidad and Tobago	good	1
2021-09-13	Trinidad and Tobago	mediocre	3
2021-09-13	USA	bad	1068
2021-09-13	USA	good	10559
2021-09-13	USA	mediocre	2041
2021-09-13	United Kingdom	bad	47
